+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                 3 |  2 |       NEW |     READY |
|                 5 |  3 |       NEW |     READY |
|                20 |  1 |   RUNNING |   WAITING |
|                21 |  2 |     READY |   RUNNING |
|                46 |  2 |   RUNNING |   WAITING |
|                47 |  3 |     READY |   RUNNING |
|                60 |  1 |   WAITING |     READY |
|                76 |  2 |   WAITING |     READY |
|                77 |  3 |   RUNNING |   WAITING |
|                78 |  1 |     READY |   RUNNING |
|                98 |  1 |   RUNNING |   WAITING |
|                99 |  2 |     READY |   RUNNING |
|               102 |  3 |   WAITING |     READY |
|               124 |  2 |   RUNNING |   WAITING |
|               125 |  3 |     READY |   RUNNING |
|               138 |  1 |   WAITING |     READY |
|               154 |  2 |   WAITING |     READY |
|               155 |  3 |   RUNNING |   WAITING |
|               156 |  1 |     READY |   RUNNING |
|               176 |  1 |   RUNNING |   WAITING |
|               177 |  2 |     READY |   RUNNING |
|               180 |  3 |   WAITING |     READY |
|               202 |  2 |   RUNNING |   WAITING |
|               203 |  3 |     READY |   RUNNING |
|               216 |  1 |   WAITING |     READY |
|               232 |  2 |   WAITING |     READY |
|               233 |  3 |   RUNNING |   WAITING |
|               234 |  1 |     READY |   RUNNING |
|               254 |  1 |   RUNNING |   WAITING |
|               255 |  2 |     READY |   RUNNING |
|               258 |  3 |   WAITING |     READY |
|               280 |  2 |   RUNNING |   WAITING |
|               281 |  3 |     READY |   RUNNING |
|               294 |  1 |   WAITING |     READY |
|               310 |  2 |   WAITING |     READY |
|               311 |  3 |   RUNNING |   WAITING |
|               312 |  1 |     READY |   RUNNING |
|               332 |  1 |   RUNNING |   WAITING |
|               333 |  2 |     READY |   RUNNING |
|               336 |  3 |   WAITING |     READY |
|               358 |  2 |   RUNNING |   WAITING |
|               359 |  3 |     READY |   RUNNING |
|               372 |  1 |   WAITING |     READY |
|               388 |  2 |   WAITING |     READY |
|               389 |  3 |   RUNNING |   WAITING |
|               390 |  1 |     READY |   RUNNING |
|               410 |  1 |   RUNNING |   WAITING |
|               411 |  2 |     READY |   RUNNING |
|               414 |  3 |   WAITING |     READY |
|               436 |  2 |   RUNNING |   WAITING |
|               437 |  3 |     READY |   RUNNING |
|               450 |  1 |   WAITING |     READY |
|               466 |  2 |   WAITING |     READY |
|               467 |  3 |   RUNNING |   WAITING |
|               468 |  1 |     READY |   RUNNING |
|               488 |  1 |   RUNNING |   WAITING |
|               489 |  2 |     READY |   RUNNING |
|               492 |  3 |   WAITING |     READY |
|               514 |  2 |   RUNNING |   WAITING |
|               515 |  3 |     READY |   RUNNING |
|               528 |  1 |   WAITING |     READY |
|               544 |  2 |   WAITING |     READY |
|               545 |  3 |   RUNNING |   WAITING |
|               546 |  1 |     READY |   RUNNING |
|               566 |  1 |   RUNNING |   WAITING |
|               567 |  2 |     READY |   RUNNING |
|               570 |  3 |   WAITING |     READY |
|               592 |  2 |   RUNNING |   WAITING |
|               593 |  3 |     READY |   RUNNING |
|               606 |  1 |   WAITING |     READY |
|               622 |  2 |   WAITING |     READY |
|               623 |  3 |   RUNNING |   WAITING |
|               624 |  1 |     READY |   RUNNING |
|               644 |  1 |   RUNNING |   WAITING |
|               645 |  2 |     READY |   RUNNING |
|               648 |  3 |   WAITING |     READY |
|               670 |  2 |   RUNNING |   WAITING |
|               671 |  3 |     READY |   RUNNING |
|               684 |  1 |   WAITING |     READY |
|               700 |  2 |   WAITING |     READY |
|               701 |  3 |   RUNNING |   WAITING |
|               702 |  1 |     READY |   RUNNING |
|               722 |  1 |   RUNNING |TERMINATED |
|               723 |  2 |     READY |   RUNNING |
|               726 |  3 |   WAITING |     READY |
|               748 |  2 |   RUNNING |TERMINATED |
|               749 |  3 |     READY |   RUNNING |
|               779 |  3 |   RUNNING |TERMINATED |
+------------------------------------------------+
